iter	Passed	Remaining
0	5	510
1	9	479
2	14	454
3	18	453
4	23	449
5	28	445
6	32	432
7	37	426
8	41	418
9	46	415
10	50	409
11	55	403
12	89	600
13	94	583
14	101	576
15	115	605
16	121	592
17	125	572
18	129	553
19	135	543
20	140	529
21	144	513
22	148	498
23	153	485
24	157	472
25	161	459
26	165	448
27	170	438
28	175	428
29	179	419
30	184	409
31	188	400
32	193	391
33	197	382
34	201	374
35	206	366
36	210	358
37	214	350
38	219	343
39	223	335
40	228	328
41	233	322
42	237	315
43	242	308
44	246	300
45	250	294
46	254	287
47	259	280
48	263	273
49	267	267
50	271	261
51	275	254
52	279	248
53	284	242
54	288	236
55	293	230
56	297	224
57	301	218
58	306	212
59	310	207
60	315	201
61	320	196
62	324	190
63	329	185
64	333	179
65	337	174
66	342	168
67	346	163
68	350	157
69	355	152
70	359	146
71	363	141
72	367	135
73	372	130
74	376	125
75	380	120
76	385	115
77	389	109
78	393	104
79	398	99
80	402	94
81	406	89
82	410	84
83	414	78
84	418	73
85	422	68
86	426	63
87	431	58
88	435	53
89	439	48
90	443	43
91	447	38
92	450	33
93	454	29
94	458	24
95	462	19
96	467	14
97	471	9
98	475	4
99	480	0
