,precision,recall,f1-score
0,0.959,0.999,0.978
1,0.997,0.988,0.992
2,0.999,0.969,0.984
3,1.000,1.000,1.000
4,1.000,0.990,0.995
5,1.000,0.989,0.994
0,0.997,0.998,0.998
1,0.997,0.999,0.998
2,0.997,0.997,0.997
3,1.000,1.000,1.000
4,0.999,0.997,0.998
5,0.999,0.995,0.997
0,0.963,0.965,0.964
1,0.990,0.961,0.976
2,0.950,0.974,0.962
3,1.000,1.000,1.000
4,0.959,0.990,0.974
5,0.998,0.951,0.974
0,0.907,0.940,0.923
1,0.965,0.928,0.946
2,0.874,0.912,0.893
3,1.000,1.000,1.000
4,0.985,0.963,0.974
5,0.922,0.894,0.908
0,0.911,0.930,0.920
1,0.892,0.873,0.883
2,0.916,0.935,0.926
3,0.998,0.999,0.998
4,0.876,0.925,0.900
5,0.953,0.811,0.876
